Var,Domain,Labels,Type,VariableName,SEQ,SEND_3_1,SEND_3_1_1,DART1_1,DART1_2
bg.STUDYID,bg,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
bg.DOMAIN,bg,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
bg.USUBJID,bg,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
bg.BGSEQ,bg,Sequence Number,Variable,BGSEQ,4,Y,Y,Y,
bg.BGTESTCD,bg,Test Short Name,Variable,BGTESTCD,5,Y,Y,Y,
bg.BGTEST,bg,Test Name,Variable,BGTEST,6,Y,Y,Y,
bg.bg,bg,Body Weight Gain,Domain,,7,Y,Y,Y,
bg.BGORRES,bg,Result or Findings as Collected,Variable,BGORRES,7,Y,Y,Y,
bg.BGORRESU,bg,Unit of the Original Result,Variable,BGORRESU,8,Y,Y,Y,
bg.BGSTRESC,bg,Standardized Result in Character Format,Variable,BGSTRESC,9,Y,Y,Y,
bg.BGSTRESN,bg,Standardized Result in Numeric Format,Variable,BGSTRESN,10,Y,Y,Y,
bg.BGSTRESU,bg,Unit of the Standardized Result,Variable,BGSTRESU,11,Y,Y,Y,
bg.BGSTAT,bg,Completion Status,Variable,BGSTAT,12,Y,Y,Y,
bg.BGREASND,bg,Reason Not Done,Variable,BGREASND,13,Y,Y,Y,
bg.BGEXCLFL,bg,Exclusion Flag,Variable,BGEXCLFL,14,Y,Y,Y,
bg.BGREASEX,bg,Reason for Exclusion,Variable,BGREASEX,15,Y,Y,Y,
bg.BGDTC,bg,Date/Time Animal Weighed,Variable,BGDTC,16,Y,Y,Y,
bg.BGENDTC,bg,End Date/Time Animal Weighed,Variable,BGENDTC,17,Y,Y,Y,
bg.BGDY,bg,Study Day of Start of Interval,Variable,BGDY,18,Y,Y,Y,
bg.BGENDY,bg,Study Day of End of Weight Interval,Variable,BGENDY,19,Y,Y,Y,
bg.RPHASE,bg,Repro Phase,Variable,RPHASE,20,,,Y,
bg.RPPLDY,bg,Planned Repro Phase Day of Observation,Variable,RPPLDY,21,,,Y,
bg.RPPLENDY,bg,Planned Repro Phase Day of Obs End,Variable,RPPLENDY,22,,,Y,
bg.BGRPDY,bg,Actual Repro Phase Day of Observation,Variable,BGRPDY,23,,,Y,
bg.BGRPENDY,bg,Actual Repro Phase Day of Obs End,Variable,BGRPENDY,24,,,Y,
bw.STUDYID,bw,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
bw.DOMAIN,bw,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
bw.USUBJID,bw,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
bw.BWSEQ,bw,Sequence Number,Variable,BWSEQ,4,Y,Y,Y,
bw.BWTESTCD,bw,Test Short Name,Variable,BWTESTCD,5,Y,Y,Y,
bw.bw,bw,Body Weight,Domain,,6,Y,Y,Y,
bw.BWTEST,bw,Test Name,Variable,BWTEST,6,Y,Y,Y,
bw.BWORRES,bw,Result or Findings as Collected,Variable,BWORRES,7,Y,Y,Y,
bw.BWORRESU,bw,Unit of the Original Result,Variable,BWORRESU,8,Y,Y,Y,
bw.BWSTRESC,bw,Standardized Result in Character Format,Variable,BWSTRESC,9,Y,Y,Y,
bw.BWSTRESN,bw,Standardized Result in Numeric Format,Variable,BWSTRESN,10,Y,Y,Y,
bw.BWSTRESU,bw,Unit of the Standardized Result,Variable,BWSTRESU,11,Y,Y,Y,
bw.BWSTAT,bw,Completion Status,Variable,BWSTAT,12,Y,Y,Y,
bw.BWREASND,bw,Reason Not Done,Variable,BWREASND,13,Y,Y,Y,
bw.BWBLFL,bw,Baseline Flag,Variable,BWBLFL,14,Y,Y,Y,
bw.BWFAST,bw,Fasting Status,Variable,BWFAST,15,Y,Y,Y,
bw.BWEXCLFL,bw,Exclusion Flag,Variable,BWEXCLFL,16,Y,Y,Y,
bw.BWREASEX,bw,Reason for Exclusion,Variable,BWREASEX,17,Y,Y,Y,
